,Preço do aluguel (escala log)
16096,6.368187186350492
25370,6.492239835020471
19726,5.817111159963204
7231,5.945420608606575
6134,6.228511003591184
3397,5.389071729816501
12491,5.1647859739235145
1398,4.770684624465665
24388,5.755742213586912
4217,6.2166061010848646
27770,6.439350371100098
9926,7.719129840906732
25297,6.2166061010848646
9994,6.621405651764134
26413,9.036106025364846
10036,8.77971129020447
13802,6.131226489483141
28272,5.429345628954441
14983,6.042632833682381
795,5.973809611869261
14244,5.010635294096256
21791,5.8888779583328805
9731,5.942799375126701
20907,6.061456918928017
28934,7.769800996003896
6362,6.398594934535208
11840,5.808142489980444
22586,5.1647859739235145
22899,5.537334267018537
27550,5.958424693029782
9169,7.050989447068045
29242,5.111987788356544
9289,5.820082930352362
13423,4.812184355372417
26087,6.79346613258001
15541,6.898714534329988
6377,6.054439346269371
21212,5.049856007249537
26530,5.662960480135946
28458,5.308267697401205
28146,5.733341276897746
10347,6.602587892189336
12240,7.034387929915503
4335,6.628041376179533
25788,5.8971538676367405
4550,9.852246888342531
9585,6.807934943699926
3693,6.90875477931522
11710,7.794411205726601
13702,5.8888779583328805
27069,4.934473933130692
23469,5.560681631015528
7348,6.218600119691729
13776,5.1647859739235145
11904,5.602118820879701
6745,5.093750200806762
4610,5.267858159063328
11313,5.41610040220442
21388,6.501289670540389
27200,5.594711379601839
24838,4.859812404361672
7839,6.152732694704104
29238,5.777652323222656
17133,5.54907608489522
21849,6.133398042996649
4191,7.480428306074208
24663,5.476463551931511
14898,5.5053315359323625
22905,7.29641326877392
29443,5.099866427824199
25430,7.216709486709457
6112,5.945420608606575
3784,5.961005339623274
6235,7.462214939768189
28336,6.297109319933935
19523,5.616771097666572
25881,4.820281565605037
14705,5.303304908059076
26086,5.068904202220232
14092,5.733341276897746
11628,6.621405651764134
16751,6.037870919922137
26106,5.332718793265369
22542,6.939253946041508
5359,6.898714534329988
2909,5.332718793265369
8589,6.2166061010848646
22661,5.863631175598097
18593,5.389071729816501
3416,6.862757913051401
25029,5.488937726156687
14018,6.095824562432225
28206,6.023447592961033
7339,5.525452939131784
10818,6.664409020350408
19148,5.755742213586912
759,5.968707559985366
20849,5.60947179518496
6703,5.749392985908253
23437,5.209486152841421
1788,6.2166061010848646
27065,6.525029657843462
12994,7.244941546337007
7403,5.723585101952381
22975,5.616771097666572
1350,5.365976015021851
19438,6.056784013228625
15340,5.429345628954441
18332,5.981414211254481
27507,4.969813299576001
9406,6.419994928147142
19443,5.3981627015177525
24676,6.278521424165844
19791,5.998936561946683
23007,6.812345094177479
2361,6.675823221634848
1402,6.760414691083428
18584,9.90353755128617
16899,6.089044875446846
10507,5.204006687076795
8692,5.613128106388071
22506,4.976733742420574
10867,5.988961416889864
10984,5.214935757608986
20842,6.173786103901937
70,5.811140992976701
5507,5.288267030694535
6620,7.678326356506885
23107,8.006700845440367
1879,6.345636360828596
20032,5.703782474656201
21051,6.2166061010848646
10779,5.204006687076795
21110,5.634789603169249
17344,6.208590026096629
10205,6.154858094016418
18963,5.60947179518496
4558,4.31748811353631
18119,4.919980925828125
23375,5.707110264748875
18018,5.552959584921617
5503,5.517452896464707
2206,7.661997558901893
1809,5.303304908059076
22329,6.255750041753367
16505,4.882801922586371
22034,5.53338948872752
21994,6.369900982828227
7745,5.802118375377063
16341,5.53338948872752
17927,6.698268054115413
2442,4.804021044733257
25815,5.723585101952381
25859,5.648974238161206
5123,5.493061443340548
2220,6.236369590203704
12074,5.488937726156687
8072,6.102558594613569
13524,5.501258210544727
655,5.303304908059076
16827,5.220355825078324
14612,5.564520407322694
19364,6.881411303642535
8944,6.398594934535208
322,8.055475141757274
9682,6.304448802421981
14076,6.063785208687608
7341,5.7899601708972535
5144,6.478509642208569
6424,5.755742213586912
26968,5.700443573390687
10527,6.100318952020064
17324,4.7535901911063645
9279,5.869296913133774
9058,5.905361848054571
27474,6.618738983517219
6010,7.824445930877619
13014,5.655991810819852
13787,6.364750756851911
15260,5.472270673671475
5731,5.556828061699537
369,6.6039438246004725
6538,8.517393171418904
24092,6.572282542694008
4121,5.43372200355424
23751,5.863631175598097
9644,5.749392985908253
17566,5.313205979041787
26956,5.480638923341991
11326,6.368187186350492
17559,5.241747015059643
28604,6.461468176353717
1131,5.683579767338681
2265,7.354362330421477
28324,5.384495062789089
5306,6.09807428216624
373,5.081404364984463
4528,6.439350371100098
9172,5.484796933490655
28850,5.14166355650266
20465,5.402677381872279
15877,6.066108090103747
20701,4.02535169073515
13150,6.218600119691729
11585,5.634789603169249
20422,5.030437921392435
27922,6.023447592961033
5638,5.420534999272286
2075,6.81783057145415
9000,5.420534999272286
9355,5.726847747587197
15342,4.770684624465665
5963,5.680172609017068
8025,5.303304908059076
2916,6.16541785423142
26492,4.976733742420574
1418,6.580639137284949
15397,6.259581464064923
6481,5.802118375377063
9320,5.752572638825633
15891,5.262690188904886
21524,6.267200548541362
15108,7.783640596221253
24621,5.648974238161206
9254,5.214935757608986
23843,7.039660349862076
115,5.641907070938114
10621,6.85751406254539
12451,6.159095388491933
21801,7.834392302910435
21046,6.432940092739179
7335,5.71042701737487
24745,5.43372200355424
10091,6.90875477931522
17996,6.641182169740591
26635,5.181783550292085
17588,5.872117789475416
10352,5.5053315359323625
24187,6.523562306149512
20921,6.941190055068375
10149,5.198497031265826
19924,7.367077059881012
1554,5.83773044716594
15868,6.473890696352274
12534,6.80128303447162
25210,5.198497031265826
7268,6.068425588244111
17670,4.8283137373023015
13432,5.786897381366708
88,6.142037405587356
9653,6.042632833682381
10422,5.303304908059076
23039,6.555356891810665
26678,5.5093883366279774
25309,5.8888779583328805
29046,6.311734809152915
3070,6.111467339502679
8618,5.501258210544727
28088,5.66988092298052
22127,5.288267030694535
22584,5.075173815233827
20909,6.498282149476434
24919,6.295266001439646
15594,5.170483995038151
18164,5.476463551931511
