,Dias alugados (estimado)
16096,210.0
25370,4.0
19726,64.0
7231,152.0
6134,56.0
3397,30.0
12491,60.0
1398,36.0
24388,0.0
4217,28.0
27770,0.0
9926,0.0
25297,0.0
9994,0.0
26413,4.0
10036,0.0
13802,68.0
28272,2.0
14983,210.0
795,208.0
14244,184.0
21791,18.0
9731,0.0
20907,0.0
28934,0.0
6362,36.0
11840,38.0
22586,72.0
22899,8.0
27550,0.0
9169,4.0
29242,0.0
9289,20.0
13423,124.0
26087,0.0
15541,0.0
6377,192.0
21212,28.0
26530,20.0
28458,0.0
28146,0.0
10347,16.0
12240,40.0
4335,12.0
25788,12.0
4550,0.0
9585,208.0
3693,0.0
11710,40.0
13702,0.0
27069,38.0
23469,24.0
7348,208.0
13776,96.0
11904,112.0
6745,120.0
4610,58.0
11313,0.0
21388,2.0
27200,0.0
24838,50.0
7839,0.0
29238,0.0
17133,12.0
21849,16.0
4191,0.0
24663,4.0
14898,150.0
22905,0.0
29443,0.0
25430,0.0
6112,20.0
3784,8.0
6235,10.0
28336,0.0
19523,288.0
25881,32.0
14705,0.0
26086,2.0
14092,4.0
11628,0.0
16751,84.0
26106,2.0
22542,6.0
5359,12.0
2909,12.0
8589,60.0
22661,0.0
18593,164.0
3416,60.0
25029,32.0
14018,168.0
28206,4.0
7339,174.0
10818,0.0
19148,46.0
759,300.0
20849,16.0
6703,48.0
23437,24.0
1788,12.0
27065,20.0
12994,0.0
7403,140.0
22975,122.0
1350,216.0
19438,136.0
15340,216.0
18332,26.0
27507,4.0
9406,8.0
19443,2.0
24676,0.0
19791,8.0
23007,40.0
2361,0.0
1402,30.0
18584,0.0
16899,18.0
10507,365.0
8692,66.0
22506,180.0
10867,28.0
10984,88.0
20842,12.0
70,96.0
5507,104.0
6620,0.0
23107,10.0
1879,10.0
20032,36.0
21051,0.0
10779,60.0
21110,68.0
17344,0.0
10205,52.0
18963,16.0
4558,0.0
18119,14.0
23375,8.0
18018,6.0
5503,80.0
2206,60.0
1809,192.0
22329,8.0
16505,18.0
22034,22.0
21994,24.0
7745,36.0
16341,82.0
17927,8.0
2442,44.0
25815,40.0
25859,54.0
5123,54.0
2220,48.0
12074,150.0
8072,0.0
13524,0.0
655,240.0
16827,44.0
14612,46.0
19364,140.0
8944,32.0
